client_id,call_id,agent_id,start_time,car_vin,car_make,car_model,car_model_year
f92b19d7-c3a6-4465-b0b6-4b652801a2ba,f5779efb-58cc-4404-9aef-ecd311002c6f,68a5aa7b-0ec0-4f05-9583-9dfaa6ca9dd9,1569742980,WBAAV53461J046474,Mitsubishi,Diamante,2002
c72ed947-68c6-49de-a6a2-272e8f7c60f1,c7ffd006-2fa8-4596-a63b-5a7ee1f63a01,2a8f9fc9-7086-426f-9020-5d885c84a7d0,1544784455,WAUBFAFL8FA980009,Chevrolet,Suburban,2006
cc706d5d-0e17-4b07-9a50-ff2f8cd7f201,80a3b9b6-f0b4-4173-b581-5312083f01df,c4c5b432-491d-479e-8b35-b07415a18142,1557561808,WAUSH94F58N181337,Buick,Century,2005
41b9c791-06eb-4166-9bd3-d42102af72b2,28a0df4a-9f11-4e98-a775-b6e76b4151e4,68a5aa7b-0ec0-4f05-9583-9dfaa6ca9dd9,1532687935,4JGBF2FE6BA202954,Subaru,Legacy,2008
3db1f75d-cbc3-4cd1-9cb2-b33416b0408c,45d1bae6-16be-477c-8b61-5239e4a6f570,68a5aa7b-0ec0-4f05-9583-9dfaa6ca9dd9,1569856963,1G6YX36D395163593,GMC,Sierra 1500,2004
29aa9ef9-85fb-4fb4-a74a-205732f8ded0,4124ac39-0a98-42c1-a318-a37c8d173287,b0c019ab-5240-45be-b9d8-44a321154168,1566012830,WBA3C1C56CF916505,Fiat,500,2012
c72ed947-68c6-49de-a6a2-272e8f7c60f1,7be9e9d0-6bd2-4d1c-acaa-139a6cee01b2,b0c019ab-5240-45be-b9d8-44a321154168,1558635174,WAUAFAFH7CN455339,Honda,Accord,2005
51613957-4785-4181-a92f-d2ee9458a4c8,9f781176-3f78-4b61-9c79-ad9469aa8fe9,0debc2c2-37d1-415d-833c-bc2cdd461371,1542579995,WAUML44D62N356114,Toyota,Corolla,1996
11b25a5e-d196-41a7-bfaf-114b83392c20,957ba82c-5235-4768-b531-277eb8a7245a,68a5aa7b-0ec0-4f05-9583-9dfaa6ca9dd9,1524524844,WAUJC68E93A851739,Chevrolet,Tahoe,1997
3db1f75d-cbc3-4cd1-9cb2-b33416b0408c,4e938b54-56af-49e2-a0e8-1184a81d2792,68a5aa7b-0ec0-4f05-9583-9dfaa6ca9dd9,1591252839,1GD312CG3CF959159,GMC,Rally Wagon 3500,1992
a6127bd4-f105-40cf-bd0f-44a6544f07f1,be46f831-4435-49ea-8732-5b8bd189a29f,b0c019ab-5240-45be-b9d8-44a321154168,1567923877,1G6DJ1E39D0003995,Mazda,Protege,1997
